Nom,URL,Région,Taille,Poids,Poil,Robe,Tête,Yeux,Oreilles,Queue,Caractère,Silhouette,Utilisation,Other names,Origin,United Kennel Club,RSCFRCE,Notes,Breed status,Height,Weight,Coat,Color,Litter size,Espèce,Colour,Clube Português de Canicultura,Fédération Cynologique Internationale,CMKU,Distribution,Kennel Club of Greece,Diffusion,Nom scientifique,Země původu,Hmotnost,Výška*,Barva,Skupina FCI,Sekce FCI,Podsekce FCI,FCI,Common nicknames,Cynological Federation of Georgia,Région d'élevage,New Zealand Kennel Club,Morphologie,Foundation stock,American Kennel Club,China Kennel Union,Pieds,Real Sociedad Canina de España,Toison,Govern Illes Balears,"Ministerio de Agricultura, Pesca y Alimentación",Ente Nazionale della Cinofilia Italiana
Tchouvatch slovaque,https://fr.wikipedia.org/wiki/Tchouvatch_slovaque,Slovaquie,"62 à 70 cm (M), 59 à 65 cm (F)",,"Double, poil de couverture long formant une crinière, sous-poil dense et long.",Blanche.,"Large crâne de forme allongée, stop bien marqué, truffe noire.","De couleur foncé, de forme ovale, placés droits.","De longueur moyenne, mobiles en action, bien appliquées contre la tête.","En forme de cigare, droite, atteint le jarret.",Courageux et fidèle.,"Chien de montagne de grande taille, d'aspect imposant et massif.",Chien de berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinone italiano,https://fr.wikipedia.org/wiki/Spinone,Italie,"60 à 70 cm (M), 58 à 65 cm (F)","34 à 39 kg (M), 30 à 32 kg (F)","Dur, serré et plutôt couché sur le corps. Il forme des sourcils, des moustaches et une barbe bien fournie sur le visage.","Blanc pur, blanc avec des taches orange, blanc truité orange, blanc avec des taches marron, rouan et rouan-marron",Crâne en forme de toit à double pente vue de face.,"Ronds, de couleur ocre.","Tombantes, de forme triangulaire avec le bout arrondi.","Longueur de 15 à 25 cm si écourtée, sans frange.","Doux, social et patient.","Griffon de grande taille, le corps s'inscrit dans un carré.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lévrier arabe,https://fr.wikipedia.org/wiki/Sloughi,"Afrique du Nord [ 1 ] , [ 2 ] , [ 3 ] , [ 4 ] , [ 5 ] , [ 6 ] , [ 7 ] , [ 8 ] , [ 9 ]","M 66-72 cm, F 61-68 cm",,"Ras, serré, fin","Sable clair à roux, manteau noir, rayures noires, masque noir","Allongée, fine, vue de dessous: en forme de coin","Grands, foncés, expression douce, nostalgique","Attachées haut, tombantes, appliquées contre la tête","Mince, portée au-dessous de la ligne dorsale, atteignant la pointe du jarret","Noble, très courageux, très attaché à son maître",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien courant du Småland,https://fr.wikipedia.org/wiki/Chien_courant_du_Sm%C3%A5land,Suède,"46 à 54 cm (M), 42 à 52 cm (F).",,"Rude, de longueur moyenne, bien couché sur le corps.",Noir et feu.,"Crâne de longueur moyenne, stop bien défini.",De couleur brun foncé.,"Tombantes, attachées assez haut, assez courte.",Deux variétés de longueur : courte (en moignon) ou longue (atteint à peine le jarret).,"Calme, amical, fidèle et attentif.","Chien courant de taille moyenne, d'aspect robuste sans lourdeur.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colley à poil court,https://fr.wikipedia.org/wiki/Colley_%C3%A0_poil_court,Écosse,Mâles : 56cm à 61 cm au garrot. Femelles : 51 cm à 56 cm au garrot.,,"court, plat ; le poil de couverture est dur de texture, le sous-poil est très dense.","zibeline et blanc, tricolore ou bleu merle.","en forme de coin, crâne plat.","moyens, en amande, brun foncé sauf chez les bleu merle où ils peuvent être bleus.","de grandeur moyenne, semi-dressées et moyennement écartées.","longue, à l'extrémité légèrement recourbée.","gai et amical, jamais craintif ni agressif.","Mâles : 22,5 à 31, 5 kg. Femelles : 20 à 27 kg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien courant serbe,https://fr.wikipedia.org/wiki/Chien_courant_serbe,Serbie,"46 à 56 cm (M), 44 à 54 cm (F).",,"Court, abondant, brillant, assez épais et bien couché sur tout le corps, avec sous-poil.",Roux et noir.,"Dolichocéphale, lignes supérieures du crâne et du chanfrein divergentes.","De forme ovale, de couleur foncée.","Tombantes, de longueur et largeur moyennes, ovales à leur extrémité.","Atteint le niveau du jarret. Légèrement recourbée vers le haut, portée au-dessous de la ligne du dos.","Vif, tenace et aimable.","Chien courant de taille moyenne, de construction robuste.","Chien de chasse , Chien de garde , Chien de défense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien courant tricolore serbe,https://fr.wikipedia.org/wiki/Chien_courant_tricolore_serbe,Serbie,"45 à 55 cm (M), 44 à 54 cm (F).",,"Court, abondant, brillant, assez épais et bien couché sur tout le corps, avec sous-poil.",Tricolore.,"Dolichocéphale, lignes supérieures du crâne et du chanfrein divergentes.","En amande, disposé en oblique, de couleur foncée.","Tombantes, de longueur et largeur moyennes.","Atteint le niveau du jarret. Légèrement recourbée vers le haut, portée au-dessous de la ligne du dos.","Vif, tenace et aimable.","Chien courant de taille moyenne, de construction robuste.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien d'arrêt frison,https://fr.wikipedia.org/wiki/Chien_d%27arr%C3%AAt_frison,Pays-Bas,"Taille idéale : 53 cm (M), 50 cm (F).",,"Poil long et lisse sur le tronc, légèrement ondulé sur la croupe.","Noir, marron ou orange avec des marques blanches.","Sèche, crâne et museau de même longueur, stop modéré.","De grandeur moyenne, ronds, marron à marron foncé.","Tombantes, attachées assez bas, de longueur moyenne, en forme de truelle.",Atteignant la pointe du jarret.,"Fidèle, docile, intelligent.","Chien d'arrêt de taille moyenne, corps inscriptible dans un rectangle.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staffordshire Bull Terrier,https://fr.wikipedia.org/wiki/Staffordshire_Bull_Terrier,Royaume-Uni,"35,5 à 40,5 cm, chien de taille moyenne","12,7 à 17 kg (mâles), 11 à 15,4 kg (femelles)","Court, lisse, serré","Rouge, fauve, blanc, bleu ou noir (pour tous panaché, ou non, de blanc), bringé","Large, carrée, courte avec stop prononcé, puissante mâchoire","Foncé, rond, moyen, harmonisé avec la robe","En rose ou semi-dressées, ni grande, ni lourde",Moyenne portée basse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saint-bernard,https://fr.wikipedia.org/wiki/Saint-bernard,Suisse France,70 à 90 cm pour le mâle - 65 à 80 cm pour la femelle,51 kg à 100 kg,long ou court,Blanc et fauve avec un masque foncé,carrée,"Moyens, bruns ou noisette","Retombantes, triangulaires et relativement grandes",Longue,"Doux, gentil et dévoué à son maître, mais têtu","Large, robuste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachet de Styrie à poil dur,https://fr.wikipedia.org/wiki/Brachet_de_Styrie_%C3%A0_poil_dur,Autriche,"47 à 53 cm (M), 45 à 51 cm (F).",,Dur et rêche. Forme une moustache sur le visage.,Rouge ou jaune-pâle,"Crâne légèrement bombé, stop marqué",Marron.,"Tombantes, bien à plat sur les joues, pas trop grande.","Épaisse à la base, portée en faucille.","Passionné, déterminé, persévérant.",Chien courant de taille moyenne de construction solide.,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien courant finlandais,https://fr.wikipedia.org/wiki/Chien_courant_finlandais,Finlande,"55 à 61 cm (M), 52 à 58 cm (F)",,"De longueur moyenne, bien couché, droit, serré et plutôt rude. Sous-poil court, serré et de texture douce.",Tricolore.,"Crâne bombé, lignes du crâne et du chanfrein parallèles, stop léger.","De grandeur moyenne, légèrement ovales, de couleur brun foncé.","Tombantes, atteignent le milieu du museau.","Attachée bas, légèrement courbe, descend jusqu’aux jarrets.","Calme, énergique et amical, jamais agressif.","Chien courant de taille moyenne, d'allure fort.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien finnois de Laponie,https://fr.wikipedia.org/wiki/Chien_finnois_de_Laponie,Finlande,"Taille idéale : 49 cm (M), 44 cm (F).",,"Abondant, spécialement les mâles qui ont une crinière opulente.",Toutes les couleurs sont admises.,"Configuration solide, plutôt large.","De couleur brun foncé, forme ovale.","De grandeur moyenne, dressées ou semi-dressées, de forme triangulaire.","De longueur moyenne, l’extrémité de la queue peut présenter un crochet en forme de J. En action, portée recourbée.","Éveillé, courageux, calme, zélé.",,"Chien de berger , Chien de garde des rennes, Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spitz finlandais,https://fr.wikipedia.org/wiki/Spitz_finlandais,Finlande,"47 cm ± 3 cm (M), 42 cm ± 3 cm (F)","12 à 13 kg (M), 7 à 10 kg (F)","Assez long sur le corps, dressé ou mi-dressé. Sous-poil court, doux et de couleur claire.",Rouge-brun ou d'un brun doré. Une rayure blanche sur le poitrail et de petites marques blanches sur les pieds sont admises.,De forme ovoïde.,"De grandeur moyenne, en forme d'amande, légèrement oblique et de préférence foncés.","Dressées, de petite taille et de forme triangulaire.",Fermement recourbée vers l'avant et portée le long et à proximité du dos,"Vif, vigoureux, courageux et déterminé.","Sèche, pouvant s'inscrire dans un carré.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sussex Spaniel,https://fr.wikipedia.org/wiki/Sussex_Spaniel,Angleterre,38 à 41 cm,Environ 23 kg .,Lisse.,Unicolore foie.,"Stop bien marqué, mâchoires fortes.",Noisette. Expression douce,"Tombantes, en forme de lobe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapphund suédois,https://fr.wikipedia.org/wiki/Lapphund_su%C3%A9dois,Suède,"Taille idéale : 48 cm (M), 43 cm (F).",,"Abondant, double qui se dresse sur le corps.",Noir unicolore ou bicolore.,,"De couleur marron, forme ronde, bien espacés.","Triangulaires, larges à la base, petites, dressées, légèrement arrondies à l’extrémité.",Portée enroulée sur le dos quand le chien est en action.,"Vif, vigilant, gentil et affectueux.",,"Chien de berger de rennes, Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petit chien courant suisse,https://fr.wikipedia.org/wiki/Petit_chien_courant_suisse,Suisse,"35 à 43 cm (M), 33 à 40 cm (F).",,Lisse ou dur.,Dépend des variétés.,"Tête sèche et noble, avec un museau long.","Brun foncé, légèrement ovales.","Tombantes, attachées en arrière du crâne, longues et étroites, plissées.","Effilée à son extrémité, portée légèrement courbée, attachée bas, atteint le jarret.",Tempérament calme à vif.,"Chien courant de petite taille, ressemblant au chien courant suisse .",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien courant suisse,https://fr.wikipedia.org/wiki/Chien_courant_suisse,Suisse,"49 à 59 cm (M), 47 à 57 cm (F).",,"Court, lisse et fourni.",Dépend des variétés.,"Tête sèche et fine, avec un museau long.","Bruns, légèrement ovales, de grosseur moyenne.","Tombantes, attachées en arrière du crâne, longues et étroites, plissées et tire-bouchonnées.","De longueur moyenne, effilée à son extrémité, légèrement courbée.","Vif, passionné de chasse, ,docile et très attaché à son maître.","Chien courant de taille moyenne, de conformation endurante.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lévrier Taïgan,https://fr.wikipedia.org/wiki/L%C3%A9vrier_Ta%C3%AFgan,Kirghizistan,65-70 cm,,,,,,,,"Robuste, résistant, susceptible, peu démonstratif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de Taïwan,https://fr.wikipedia.org/wiki/Chien_de_Ta%C3%AFwan,Taïwan,"48 à 50 cm (M), 39 à 43 cm (F)","15 à 20 kg (M), 10 à 18 kg (F)","Court et dur, bien couché sur le corps.","Noir, bringé, fauve unicolore ou avec panachures blanches, blanc.",De forme triangulaire.,"En amande, de couleur brun foncé.","Dressées, de forme triangulaire légèrement arrondi sur le côté externe.",En forme de faucille.,Très fidèle à son maître.,,"Chien de compagnie , Chien de garde , Chien de chasse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaskan,https://fr.wikipedia.org/wiki/Tamaskan,Finlande Angleterre,"63,6 à 84 cm (M), 61 à 71 cm (F)","32 à 50 kg (M), 25 à 41 kg (F)","Droit, dense.",Wolf grey - Red grey - Black Gray agouti patterns,"Expressive. Triangulaire, plus longue que large (2:1) Museau et haut du crâne parallèles (1:1) Stop léger. Nez noir. Lèvres noires et serrées",En amande de couleur jaune ou ambre voir marron. Contour des yeux noir.,"Triangulaires et légèrement arrondies, de taille moyenne, proportionnées à la tête. Portées vers l’avant et dressées.","Attachée haut, au repos droite et pendante, peut être portée haut en mouvement.","Sociable, adapté à la vie de famille.",Lupoïde.,Chien de traîneau Chien d'assistance Chien de sauvetage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier noir de Russie,https://fr.wikipedia.org/wiki/Terrier_noir_russe,Russie,,,,noire,,,,,,,chien de garde et de police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier brésilien,https://fr.wikipedia.org/wiki/Terrier_br%C3%A9silien,Brésil,"35 à 40 cm (M), 33 à 38 cm (F).",Au maximum 10 kg .,"Court, lisse, fin sans être doux et bien couché.","Blanche marquée de noir, marron ou bleu, avec des marques feu.","De forme triangulaire, stop prononcé.","De forme ronde, légèrement proéminent, de préférence foncé.","De forme triangulaire, semi-dressées, ne sont pas coupées.","Courte, attachée assez bas, peut être coupée.","Vif, actif, amical avec sa famille.","Chien de terrier de taille moyenne, de construction solide et svelte.",Chien de compagnie .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesem,https://fr.wikipedia.org/wiki/Tesem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
épagneul tibétain,https://fr.wikipedia.org/wiki/%C3%89pagneul_tib%C3%A9tain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornjak,https://fr.wikipedia.org/wiki/Berger_de_Bosnie-Herz%C3%A9govine_et_de_Croatie,Bosnie-Herzégovine et Croatie,"65 à 70 cm (M), 60 à 65 cm (F).",,"Long, épais, rude et droit, avec un sous-poil très épais et laineux.",Blanche tachée de couleur.,"Allongée, avec un museau rectangulaire aussi long que le crâne.","En forme d’amande, de couleur foncée.","Attachées assez haut, de taille moyenne, de forme triangulaire, pliées et tombantes.","Attachée à hauteur moyenne, longue, poil fourni formant un panache.","Calme, amical, courageux, obéissant, intelligent.","Chien de montagne de grande taille, d'aspect puissant, bien proportionné et harmonieux.","Chien de berger , Chien de garde .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tosa Inu,https://fr.wikipedia.org/wiki/Tosa_(chien),Japon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toy Manchester Terrier,https://en.wikipedia.org/wiki/Toy_Manchester_Terrier,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manchester Terrier,standard,,,,,,,
Treeing Walker Coonhound,https://en.wikipedia.org/wiki/Treeing_Walker_Coonhound,,,,,,,,,,,,,TWC,United States,standard,,,,Males,Males,Short and dense,"Tricolor, bicolor",,,,,,,,,,,,,,,,,,,Walker,,,,,,,,,,,,,
Chien thaïlandais à crête dorsale,https://fr.wikipedia.org/wiki/Chien_tha%C3%AFlandais_%C3%A0_cr%C3%AAte_dorsale,Thaïlande,"56 à 61 cm (M), 51 à 56 cm (F)",,Court et lisse. Épi dorsal composé de poils implantés en sens inverse.,"Rouge, noir, bleu et fauve très clair (isabelle)",,"Dimension moyenne, en forme d'amande.","Dimension moyenne, triangulaire et dressées vers l'avant.",S'effilant à l'extrémité.,"Résistant, actif, fidèle à sa famille",,"Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrier tibétain,https://fr.wikipedia.org/wiki/Terrier_tib%C3%A9tain,Tibet,35 cm à 40 cm,,Poil très long et fin qui ressemble à une chevelure humaine avec un sous poil laineux et doux.,"Unicolore, bicolore ou parti colore : de toutes les couleurs sauf chocolat.",,,,"Longue et recourbée, très poilue.","Affectueux, joueur et sociable. Reste parfois distant des étrangers. Aime les enfants. Intelligent et facile à dresser. N'aime pas la solitude.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachet tyrolien,https://fr.wikipedia.org/wiki/Brachet_tyrolien,Autriche,"44 à 50 cm (M), 42 à 48 cm",,"Double, dense, plutôt grossier que fin",Fauve ou noire et feu.,Large avec un crâne légèrement bombé et un stop marqué.,"Ronds, couleur marron foncé.","Tombantes, larges, arrondies à l'extrémité, attachées haut.","Longue, portée haut.","Équilibré, persévérant à la chasse, doux et amical à la maison.","Chien courant de taille moyenne, d'allure musclée et robuste.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallhund suédois,https://fr.wikipedia.org/wiki/Vallhund_su%C3%A9dois,Suède,"Taille idéale : 33 cm (M), 31 cm .",,"Poil de couverture de longueur moyenne, dur, serré et bien couché avec un sous-poil doux et dense.","Gris, brun grisâtre, jaune grisâtre, jaune-rougeâtre ou brun-rougeâtre.",Assez longue et nettement dessinée.,"De taille moyenne, de forme ovale et de couleur brun foncé.","De dimensions moyennes, de forme triangulaire, dressées.",Deux types de queue : la queue longue ou la queue naturellement courte.,"Vigilant, énergique, sans peur et vif.",,"Chien de berger de rennes, Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volpino Italiano,https://fr.wikipedia.org/wiki/Volpino_italien,Italie,"27 à 30 cm (M), de 25 à 28 cm (F)",,"Touffu, très long et dressé, texture rude.","Blanc, rouge ou champagne. Robe unicolore uniquement.","En forme de pyramide, sa longueur atteint presque les 4/10 e de la hauteur au garrot.","Bien ouverts et de grandeur normale, ils dénotent vigilance et vivacité.","Courtes, de forme triangulaire, dressées.",Portée en permanence enroulée sur le dos.,"Très attaché à son milieu et à ses familiers, vif, gai et enjoué.","Spitz de petit format, très compact, harmonieux","Chien de compagnie , Chien de garde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laïka de Sibérie orientale,https://fr.wikipedia.org/wiki/La%C3%AFka_de_Sib%C3%A9rie_orientale,Russie,"55 à 63 cm (M), 53 à 61 cm (F)",,"Poil de couverture dur et droit, sous-poil abondant et laineux.","Noir et feu, noir, noir et blanc, blanc et pie.","Grande par rapport au corps, en forme de coin.","De taille moyenne, forme ovale, placés de biais, couleur marron.","Dressées, de forme triangulaire.","Enroulée ou en forme de faucille, retombant sur le dos.",Équilibré. Amical envers l'Homme. Passionné à la chasse.,,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waeller,https://de.wikipedia.org/wiki/W%C3%A4ller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque de Weimar,https://fr.wikipedia.org/wiki/Braque_de_Weimar,Allemagne,"Taille idéale : 62 à 67 cm (M), 59 à 63 cm (F)","32 à 42 kg (M), 27 à 37 kg (F)",Deux variétés : poil court ou long.,"Gris argenté, gris brunâtre, gris souris","Stop peu marqué, truffe chair foncée.","Ambre clair à foncé, de forme ronde, position légèrement oblique.","Tombantes, larges et assez longues.","Attachée bas, puissante. Pendante au repos, horizontale en action.","Équilibré, docile, passionné pour la chasse et persévérant.Il déborde de vitalité avec ses maîtres et peut se montrer trop turbulent avec les enfants",,"Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
